km_abs,estaca_m,lado,codigo,km_oficial
0.004,4,E,T-01,45.73
0.084,84,E,I-01,45.81
0.132,132,E,R-19.4,45.858
0.132,132,E,A-7a,45.858
0.132,132,E,I-02,45.858
0.151,151,D,I-03,45.877
0.229,229,D,R-7,45.955
0.262,262,D,I-04,45.988
0.282,282,E,I-05,46.008
0.306,306,D,A-2a,46.032
0.685,685,D,T-02,46.411
0.723,723,E,A-2b,46.449
0.752,752,D,R-7,46.478
0.834,834,E,R-7,46.56
0.844,844,D,E-1,46.57
0.874,874,E,E-2,46.6
0.916,916,D,A-5a,46.642
0.948,948,D,R-19.6,46.674
1.581,1581,E,A-5a,47.307
1.601,1601,D,EA-18c,47.327
1.626,1626,D,EA-18a,47.352
1.656,1656,E,EA-18a,47.382
1.665,1665,D,A-2a,47.391
1.685,1685,D,EA-18a,47.411
1.73,1730,E,EA-18a,47.456
1.826,1826,E,EA-18c,47.552
2.061,2061,E,A-2b,47.787
2.062,2062,E,R-7,47.788
2.139,2139,D,R-7,47.865
2.222,2222,D,A-2a,47.948
2.545,2545,E,A-2b,48.271
2.604,2604,D,A-2b,48.33
2.637,2637,E,R-19.4,48.363
3.079,3079,E,A-2a,48.805
3.114,3114,D,R-7,48.84
3.177,3177,E,R-7,48.903
3.276,3276,D,A-2a,49.002
3.682,3682,E,A-2b,49.408
3.794,3794,D,R-7,49.52
3.799,3799,E,R-7,49.525
3.904,3904,D,A-2b,49.63
4.04,4040,E,I-06,49.766
4.396,4396,E,A-2a,50.122
4.466,4466,D,R-7,50.192
4.505,4505,E,R-7,50.231
4.887,4887,E,A-2b,50.613
5.046,5046,E,R-7,50.772
5.462,5462,D,R-7,51.188
5.503,5503,E,R-7,51.229
5.957,5957,E,R-7,51.683
6.221,6221,D,R-7,51.947
6.819,6819,E,R-7,52.545
7.276,7276,D,R-7,53.002
7.358,7358,D,A-2b,53.084
7.498,7498,D,R-19.4,53.224
7.571,7571,D,EA-18c,53.297
7.628,7628,D,EA-18a,53.354
7.639,7639,E,EA-18a,53.365
7.668,7668,E,A-2a,53.394
7.721,7721,E,EA-18c,53.447
7.808,7808,E,R-7,53.534
7.822,7822,E,R-19.4,53.548
7.869,7869,E,R-7,53.595
8.454,8454,E,A-2b,54.18
8.548,8548,E,R-7,54.274
9.087,9087,D,R-7,54.813
9.199,9199,D,A-2b,54.925
9.451,9451,E,A-2a,55.177
9.581,9581,D,A-2b,55.307
9.818,9818,E,A-2a,55.544
10.232,10232,D,A-2a,55.958
10.563,10563,E,A-2b,56.289
10.911,10911,E,R-7,56.637
11.033,11033,D,A-2b,56.759
11.381,11381,D,A-2a,57.107
11.439,11439,E,A-2a,57.165
11.807,11807,E,A-2b,57.533
12.303,12303,E,R-7,58.029
12.493,12493,D,R-7,58.219
12.612,12612,D,A-2b,58.338
12.669,12669,D,A-36,58.395
12.9,12900,E,A-2a,58.626
13.032,13032,D,R-7,58.758
13.061,13061,E,R-7,58.787
13.454,13454,D,R-7,59.18
13.488,13488,E,R-7,59.214
13.939,13939,D,R-7,59.665
13.97,13970,E,R-7,59.696
14.059,14059,D,A-2b,59.785
14.373,14373,E,A-2a,60.099
14.488,14488,D,A-5a,60.214
14.609,14609,E,,60.335
15.148,15148,E,A-36,60.874
15.255,15255,E,E-3,60.981
15.43,15430,E,A-5b,61.156
15.535,15535,E,R-7,61.261
15.606,15606,D,A-36,61.332
15.71,15710,D,R-7,61.436
15.798,15798,D,A-2a,61.524
15.914,15914,D,,61.64
16.239,16239,D,A-2a,61.965
16.322,16322,E,A-2b,62.048
16.39,16390,D,,62.116
16.704,16704,E,A-2b,62.43
17.322,17322,E,A-36,63.048
17.41,17410,D,R-7,63.136
17.419,17419,E,R-7,63.145
17.483,17483,D,A-2b,63.209
17.829,17829,E,A-2a,63.555
17.937,17937,E,R-7,63.663
17.974,17974,D,R-7,63.7
18.081,18081,D,A-2a,63.807
18.379,18379,E,A-2b,64.105
18.457,18457,D,A-2b,64.183
18.649,18649,D,R-19.8,64.375
18.725,18725,E,A-2a,64.451
18.843,18843,E,R-7,64.569
19.315,19315,D,R-7,65.041
19.459,19459,E,R-19.8,65.185
19.468,19468,D,A-2b,65.194
19.544,19544,D,R-19.6,65.27
19.67,19670,D,A-2a,65.396
19.741,19741,E,A-2a,65.467
19.95,19950,D,EA-18c,65.676
20.006,20006,E,A-2b,65.732
20.03,20030,D,EA-18a,65.756
20.051,20051,E,EA-18a,65.777
20.125,20125,E,E-4,65.851
20.169,20169,E,EA-18c,65.895
20.216,20216,E,R-7,65.942
20.774,20774,D,R-7,66.5
20.966,20966,D,EA-18a,66.692
21.087,21087,D,EA-18a,66.813
21.131,21131,E,R-19.4,66.857
21.352,21352,D,EA-18c,67.078
21.485,21485,E,EA-18a,67.211
21.533,21533,E,EA-18c,67.259
21.555,21555,D,T-03,67.281
21.566,21566,E,R-19.4,67.292
21.737,21737,E,R-7,67.463
21.867,21867,D,R-7,67.593
22.016,22016,E,I-07,67.742
22.117,22117,D,E-5,67.843
22.121,22121,E,R-19.6,67.847
22.178,22178,E,E-6,67.904
22.328,22328,D,A-2b,68.054
22.714,22714,E,A-2a,68.44
23.034,23034,D,EA-18c,68.76
23.034,23034,E,A-2a,68.76
23.048,23048,E,R-7,68.774
23.121,23121,E,EA-18a,68.847
